"X1","X2","X3","X4","Z1","Z2","T","U","Delta"
-0.607454931559185,-2.37898395041658,-0.177456500559889,-0.243922867333415,0,0,593,2564.129431,1
-0.695700472209072,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,711,4012.126476,1
-0.695700472209072,-2.37898395041658,-0.156077147798902,-0.226493012752585,0,0,1500,494.7297325,0
-0.166227228309748,-2.37898395041658,-0.202584839350053,-0.264409141911832,1,0,1200,474.6580619,0
0.716228178189127,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,505,1480.618771,1
-0.78394601285896,-2.37898395041658,0.22804193427171,0.0866661280811915,0,0,855,9829.518804,1
0.892719259488901,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,556,4174.830631,1
0.804473718839014,-2.37898395041658,-0.174974063864893,-0.134256952643859,1,0,891,1832.42842,1
-0.78394601285896,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,3600,3247.910312,0
-0.607454931559185,-2.37898395041658,-0.202584839350053,-0.264409141911832,1,0,710,499.2770422,0
0.0102638529900271,-2.37898395041658,-0.202584839350053,-0.264409141911832,1,1,2200,4722.074497,1
-0.342718309609523,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,1900,2587.381071,1
0.627982637539239,-2.37898395041658,0.339498275679695,0.291115844135952,0,1,823,4202.134571,1
-0.607454931559185,-2.37898395041658,-0.163575119857258,0.22234639419026,0,1,10000,15020.93858,1
0.716228178189127,-2.37898395041658,0.0405926328128249,-0.0661548717981245,0,1,761,3580.574973,1
-0.0779816876598603,-2.37898395041658,-0.202584839350053,-0.264409141911832,1,0,1600,3515.04678,1
1.33394696273834,-2.37898395041658,-0.17446744413122,-0.103136521194595,0,1,13600,6369.852648,0
0.0102638529900271,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,3100,2223.113757,0
-0.695700472209072,-2.37898395041658,0.0507250274862781,-0.0578942772100534,0,0,5700,1144.017249,0
1.15745588143856,-2.37898395041658,-0.174974063864893,-0.147540659006122,0,0,17100,1998.112385,0
0.892719259488901,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,2800,8028.428234,1
-0.166227228309748,-2.37898395041658,-0.166918810099497,-0.235331848961821,1,0,598,2179.469374,1
0.804473718839014,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,445,998.6505358,1
-0.872191553508847,-2.37898395041658,0.613072931862933,0.400568722427895,1,0,1500,1921.328589,1
-0.695700472209072,-2.37898395041658,-0.0607313139217074,-0.148760817678836,0,0,852,360.1568831,0
-0.519209390909298,-2.37898395041658,-0.155773175958699,-0.226245194914943,0,0,783,201.8185473,0
-0.519209390909298,-2.37898395041658,-0.0759299059318872,-0.161151709560943,0,0,1500,1964.94883,1
0.980964800138789,-2.37898395041658,-0.174974063864893,-0.139027772105441,0,0,1800,13442.08215,1
-0.872191553508847,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,462,3983.840673,1
0.627982637539239,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,425,3384.558955,1
-0.254472768959635,-2.37898395041658,0.106453198190271,-0.0124610069756621,0,0,3200,4873.339413,1
-0.78394601285896,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,3900,126.540816,0
-0.960437094158735,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,480,1100.137652,1
-0.519209390909298,-2.37898395041658,-0.202584839350053,-0.264409141911832,1,1,573,4483.49064,1
-0.342718309609523,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,3600,690.9950097,0
-0.607454931559185,-2.37898395041658,0.111519395526998,-0.00833070968162656,0,0,343,3472.543177,1
1.42219250338823,-2.37898395041658,-0.174974063864893,-0.111045571145689,0,0,7700,1024.525188,0
-0.166227228309748,-2.37898395041658,-0.136724273972607,-0.1910963649427,0,0,2600,2462.378275,0
-0.254472768959635,-2.37898395041658,-0.197467980039959,-0.22424613102463,1,0,504,2551.773163,1
-0.607454931559185,-2.37898395041658,0.116585592863724,-0.004200412387591,0,1,2100,798.0075493,0
0.892719259488901,-2.37898395041658,-0.174974063864893,-0.133536541853021,0,0,1100,3666.607014,1
-0.960437094158735,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,401,3491.289161,1
1.15745588143856,-2.37898395041658,-0.174974063864893,-0.150466286283599,0,0,4200,4387.719591,1
0.716228178189127,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,1200,4254.769089,1
0.804473718839014,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,1500,1883.218411,1
-0.78394601285896,-2.37898395041658,-0.202584839350053,-0.264409141911832,1,1,575,1022.970316,1
1.24570142208845,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,507,4390.649832,1
-0.519209390909298,-2.37898395041658,-0.170262500341737,0.0767843918052114,0,1,1200,3376.895014,1
0.892719259488901,-2.37898395041658,-0.174974063864893,-0.130851848611898,0,0,695,1745.817216,1
0.804473718839014,-2.37898395041658,-0.174974063864893,-0.137047294552951,0,0,1200,6817.354351,1
-0.78394601285896,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,0,4900,1433.67363,0
0.892719259488901,-2.37898395041658,-0.174974063864893,-0.134256952643859,0,0,382,7397.761203,1
0.892719259488901,-2.37898395041658,-0.174974063864893,-0.137253809417653,0,0,400,10925.61707,1
-0.519209390909298,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,1,4600,1894.042737,0
0.892719259488901,-2.37898395041658,-0.174974063864893,-0.122797768888528,0,0,2400,2018.952992,0
-0.342718309609523,-2.37898395041658,-0.106327089952247,-0.185933493325156,0,0,1600,3318.630351,1
0.0102638529900271,-2.37898395041658,-0.202584839350053,-0.264409141911832,0,1,1100,712.5768288,0
